,m:x1:n1,m:x1:n2,m:x1:n3,m:x1:n4,m:x1:n5,m:x1:n6,m:x1:n7,m:x1:n8,m:x1:p1,m:x1:p2,m:x1:p3,m:x1:p4,m:x1:x1:n1,m:x1:x1:n2,m:x1:x1:n3,m:x1:x1:p1,m:x1:x1:p2,m:x1:x1:p3
$\vert V_{Th} \vert$,0.526,0.567,0.63,0.63,0.526,0.569,0.526,0.569,0.494,0.63,0.494,0.63,0.526,0.568,0.525,0.494,0.629,0.49
$\vert V_{GS} \vert$,0.633,0.662,0.493,0.493,0.634,0.65,0.634,0.65,0.817,0.958,0.817,0.958,0.633,0.655,0.805,0.817,0.962,1.4
$\vert V_{DS}+V_{Th} \vert$,0.669,0.831,1.58,1.58,0.681,1.315,0.681,1.315,0.937,1.087,0.937,1.087,0.676,1.051,1.33,0.933,1.0070000000000001,1.89
$\vert V_{GT}-V_{Th} \vert$,0.10699999999999998,0.09500000000000008,-0.137,-0.137,0.10799999999999998,0.08100000000000007,0.10799999999999998,0.08100000000000007,0.32299999999999995,0.32799999999999996,0.32299999999999995,0.32799999999999996,0.10699999999999998,0.08700000000000008,0.28,0.32299999999999995,0.33299999999999996,0.9099999999999999
Saturation?,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Model:,x1:nch.9,x1:nch.9,x1:nch.9,x1:nch.9,x1:nch.9,x1:nch.9,x1:nch.9,x1:nch.9,x1:pch.9,x1:pch.9,x1:pch.9,x1:pch.9,x1:x1:nch.9,x1:x1:nch.9,x1:x1:nch.9,x1:x1:pch.9,x1:x1:pch.9,x1:x1:pch.9
Id:,65.9,65.9,33.0,33.0,33.9,33.9,33.9,33.9,-66.8,-33.9,-66.8,-33.9,572.0,572.0,2750.0,-572.0,-572.0,-3550.0
Vgs:,6.33e-01,6.62e-01,4.93e-01,4.93e-01,6.34e-01,6.50e-01,6.34e-01,6.50e-01,-8.17e-01,-9.58e-01,-8.17e-01,-9.58e-01,6.33e-01,6.55e-01,8.05e-01,-8.17e-01,-9.62e-01,-1.40e+00
Vds:,1.43e-01,2.64e-01,9.50e-01,9.50e-01,1.55e-01,7.46e-01,1.55e-01,7.46e-01,-4.43e-01,-4.57e-01,-4.43e-01,-4.57e-01,1.50e-01,4.83e-01,8.05e-01,-4.39e-01,-3.78e-01,-1.40e+00
Vbs:,0.00e+00,-1.43e-01,-4.07e-01,-4.07e-01,0.00e+00,-1.55e-01,0.00e+00,-1.55e-01,0.00e+00,4.43e-01,0.00e+00,4.43e-01,0.00e+00,-1.50e-01,0.00e+00,0.00e+00,4.39e-01,0.00e+00
